time,power_output,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
2005-01-01 00:11:00,0.0,0.0,0.0,0.0,0.0,6.89,3.59,0.0
2005-01-01 01:11:00,0.0,0.0,0.0,0.0,0.0,6.83,3.45,0.0
2005-01-01 02:11:00,0.0,0.0,0.0,0.0,0.0,6.8,3.24,0.0
2005-01-01 03:11:00,0.0,0.0,0.0,0.0,0.0,6.38,2.83,0.0
2005-01-01 04:11:00,0.0,0.0,0.0,0.0,0.0,6.24,2.62,0.0   
2005-01-01 05:11:00,0.0,0.0,0.0,0.0,0.0,6.01,2.48,0.0
2005-01-01 06:11:00,0.0,0.0,0.0,0.0,0.0,5.6,2.41,0.0
2005-01-01 07:11:00,0.0,0.0,0.0,0.0,0.0,5.36,2.07,0.0
2005-01-01 08:11:00,29.16,2.0,16.73,0.0,5.04,4.8,1.79,0.0
2005-01-01 09:11:00,297.68,49.0,57.0,0.0,10.15,4.71,1.79,0.0
2005-01-01 10:11:00,95.4,0.0,38.0,0.0,13.39,4.66,2.0,0.0
2005-01-01 11:11:00,36.14,0.0,20.0,0.0,14.47,4.84,1.79,0.0
2005-01-01 12:11:00,163.89,0.0,57.0,0.0,13.31,5.1,1.72,0.0
2005-01-01 13:11:00,149.08,0.0,53.0,0.0,9.99,5.06,1.66,0.0
2005-01-01 14:11:00,27.27,0.0,17.0,0.0,4.82,5.23,1.93,0.0
2005-01-01 15:11:00,0.0,0.0,0.0,0.0,0.0,4.85,2.28,0.0
2005-01-01 16:11:00,0.0,0.0,0.0,0.0,0.0,4.46,2.55,0.0
2005-01-01 17:11:00,0.0,0.0,0.0,0.0,0.0,4.51,2.69,0.0
2005-01-01 18:11:00,0.0,0.0,0.0,0.0,0.0,4.51,2.9,0.0
2005-01-01 19:11:00,0.0,0.0,0.0,0.0,0.0,4.45,2.9,0.0
2005-01-01 20:11:00,0.0,0.0,0.0,0.0,0.0,4.32,3.24,0.0
2005-01-01 21:11:00,0.0,0.0,0.0,0.0,0.0,4.21,3.24,0.0
